sweep,label,mass_scaling_dt_s,mesh_refinement_factor,max_ke_allie_pct_after_5pct_u3_full_history,max_ke_allie_pct_after_5pct_u3_to_fracture,max_ke_allie_pct_last_0p5s_before_fracture,max_ke_allie_pct_between_vh_and_fracture,ke_allie_pct_at_fracture,ke_allie_pct_at_volk_hora,fracture_eps1,fracture_eps2,fracture_u3_mm,volk_hora_eps1,volk_hora_eps2,volk_hora_u3_mm,job_dir
mass,1\times10^{-6} s,1e-06,2.0,1.7984940435572285,1.7984940435572285,0.21510504235932337,0.07276162565596084,0.05289615945810221,0.07349006683469393,0.2443577212037589,0.0958640361920074,28.081,0.1684902060005669,0.0926399302021787,27.3427,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6_mr2/Naka100_W100_t1p5_ang0_ms1e6_mr2
mass,5\times10^{-6} s,5e-06,2.0,42.7182227814398,42.7182227814398,1.6373743907482852,0.9107717397894215,0.8692172025848842,0.9107717397894215,0.1879423424305125,0.0945252812769129,27.5302,0.1528557278605068,0.0903864789621028,26.7691,FLC_output/FLC_Naka100_t1p5_ang0_ms5e6_mr2/Naka100_W100_t1p5_ang0_ms5e6_mr2
mass,1\times10^{-5} s,1e-05,2.0,149.39564814055092,149.39564814055092,4.861726985710761,3.301366696735142,3.2093017743671832,3.2648157131906905,0.209590589416761,0.0984397584001242,27.8991,0.1632156455684754,0.0948066510390572,27.1531,FLC_output/FLC_Naka100_t1p5_ang0_ms1e5_mr2/Naka100_W100_t1p5_ang0_ms1e5_mr2
mass,5\times10^{-5} s,5e-05,2.0,2665.098758529628,2665.098758529628,91.56194368697491,61.14203539131366,55.798233696681784,61.14203539131366,0.2330700227335991,0.1023436764000674,28.6128,0.1724713689670997,0.0973768683481723,27.7155,FLC_output/FLC_Naka100_t1p5_ang0_ms5e5_mr2/Naka100_W100_t1p5_ang0_ms5e5_mr2
mass,1\times10^{-4} s,0.0001,2.0,2705.487719095545,2705.487719095545,251.76351421894202,168.88780863787073,146.26976569434245,168.88780863787073,0.2266429098487894,0.1225297560813494,30.2431,0.1964761189866043,0.1151149183632168,29.4561,FLC_output/FLC_Naka100_t1p5_ang0_ms1e4_mr2/Naka100_W100_t1p5_ang0_ms1e4_mr2
mesh,f_\mathrm{MR}=1,1e-05,1.0,1130.5157201316615,1130.5157201316615,11.232949740484742,7.0610917444258,6.673287232282419,6.7286773147526056,0.2329497263867361,0.0992107686732246,27.8991,0.1646545162231577,0.0955320352197422,27.1531,FLC_output/FLC_Naka100_t1p5_ang0_ms1e5/Naka100_W100_t1p5_ang0_ms1e5
mesh,f_\mathrm{MR}=2,1e-05,2.0,149.39564814055092,149.39564814055092,4.861726985710761,3.301366696735142,3.2093017743671832,3.2648157131906905,0.209590589416761,0.0984397584001242,27.8991,0.1632156455684754,0.0948066510390572,27.1531,FLC_output/FLC_Naka100_t1p5_ang0_ms1e5_mr2/Naka100_W100_t1p5_ang0_ms1e5_mr2
mesh,f_\mathrm{MR}=3,1e-05,3.0,42.389154945949095,42.389154945949095,2.622666185084744,1.7833615875156354,1.7134416925477518,1.9608965110749097,0.2541397273945041,0.097972099894558,27.8991,0.1714994265575614,0.0945299933875313,27.1531,FLC_output/FLC_Naka100_t1p5_ang0_ms1e5_mr3/Naka100_W100_t1p5_ang0_ms1e5_mr3
confirm,f_\mathrm{MR}=1,1e-06,1.0,23.94862650088834,13.960364101112843,0.7451052024855906,1.0916924750604766,0.21115827711452015,1.3157541524626235,0.20135879461412,0.0971090953346823,28.081,0.0704127427683095,0.0589693413788465,18.2029,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6/Naka100_W100_t1p5_ang0_ms1e6
confirm,f_\mathrm{MR}=1.25,1e-06,1.25,24.4975639317948,9.29559802659264,0.18049389178106864,0.07718883367032071,0.07020456983486967,0.07093221175222436,0.2066131484923345,0.0957237834767715,28.1381,0.1693491071847288,0.0937309836043634,27.6978,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6_mr1p25_pd32/Naka100_W100_t1p5_ang0_ms1e6_mr1p25_pd32
confirm,f_\mathrm{MR}=1.41,1e-06,1.41,41.39003497807491,6.485784737913431,0.19154963671510128,0.06528774159989086,0.06550156577272864,0.06528774159989086,0.2051817134477008,0.0965450903876505,28.1381,0.1699978815288083,0.0943234851181392,27.6978,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6_mr1p41_pd32/Naka100_W100_t1p5_ang0_ms1e6_mr1p41_pd32
confirm,f_\mathrm{MR}=2,1e-06,2.0,1.7984940435572285,1.7984940435572285,0.21510504235932337,0.07276162565596084,0.05289615945810221,0.07349006683469393,0.2443577212037589,0.0958640361920074,28.081,0.1684902060005669,0.0926399302021787,27.3427,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6_mr2/Naka100_W100_t1p5_ang0_ms1e6_mr2
confirm,f_\mathrm{MR}=3,1e-06,3.0,0.888226131168168,0.5317915547611788,0.2744992200270947,0.04346785362195584,0.026027306885852274,0.04346785362195584,0.2193720327604768,0.0967992433077438,27.5302,0.1599254903091201,0.0928379618897351,26.7691,FLC_output/FLC_Naka100_t1p5_ang0_ms1e6_mr3/Naka100_W100_t1p5_ang0_ms1e6_mr3
